Name,Begin,End
Henry VIII,1509,1547
Edward VI,1547,1553
Mary I (Bloody Mary),1553,1558
Elizabeth I,1558,1603
James I And VI Of Scotland,1603,1625
Charles I,1625,1649
Oliver Cromwell (Lord Protector),1653,1658
Charles II,1660,1685
James II And VII Of Scotland,1685,1688
William III,1689,1702
Anne,1702,1714
George I,1714,1727
George II,1727,1760
George III,1760,1820
George IV,1820,1830
William IV,1830,1837
Victoria,1837,1901
Edward VII,1901,1910
George V,1910,1936
Edward VIII,1936,1936
George VI,1936,1952
Elizabeth II,1952,2018
